sep=,
"Time","""192.168.146.51:9100"""
2024-05-12 19:13:00,0.0189
2024-05-12 19:13:15,0.0189
2024-05-12 19:13:30,0.0189
2024-05-12 19:13:45,0.0189
2024-05-12 19:14:00,0.0238
2024-05-12 19:14:15,0.0238
2024-05-12 19:14:30,0.0238
2024-05-12 19:14:45,0.0238
2024-05-12 19:15:00,0.0199
2024-05-12 19:15:15,0.0199
2024-05-12 19:15:30,0.0199
2024-05-12 19:15:45,0.0199
2024-05-12 19:16:00,0.0190
2024-05-12 19:16:15,0.0190
2024-05-12 19:16:30,0.0190
2024-05-12 19:16:45,0.0190
2024-05-12 19:17:00,0.0239
2024-05-12 19:17:15,0.0239
2024-05-12 19:17:30,0.0239
2024-05-12 19:17:45,0.0239
2024-05-12 19:18:00,0.0224
2024-05-12 19:18:15,0.0224
2024-05-12 19:18:30,0.0224
2024-05-12 19:18:45,0.0224
2024-05-12 19:19:00,0.0191
2024-05-12 19:19:15,0.0191
2024-05-12 19:19:30,0.0191
2024-05-12 19:19:45,0.0191
2024-05-12 19:20:00,0.0209
2024-05-12 19:20:15,0.0209
2024-05-12 19:20:30,0.0209
2024-05-12 19:20:45,0.0209
2024-05-12 19:21:00,0.0216
2024-05-12 19:21:15,0.0216
2024-05-12 19:21:30,0.0216
2024-05-12 19:21:45,0.0216
2024-05-12 19:22:00,0.0189
2024-05-12 19:22:15,0.0189
2024-05-12 19:22:30,0.0189
2024-05-12 19:22:45,0.0189
2024-05-12 19:23:00,0.0180
2024-05-12 19:23:15,0.0180
2024-05-12 19:23:30,0.0180
2024-05-12 19:23:45,0.0180
2024-05-12 19:24:00,0.0186
2024-05-12 19:24:15,0.0186
2024-05-12 19:24:30,0.0186
2024-05-12 19:24:45,0.0186
2024-05-12 19:25:00,0.0247
2024-05-12 19:25:15,0.0247
2024-05-12 19:25:30,0.0247
2024-05-12 19:25:45,0.0247
2024-05-12 19:26:00,0.0244
2024-05-12 19:26:15,0.0244
2024-05-12 19:26:30,0.0244
2024-05-12 19:26:45,0.0244
2024-05-12 19:27:00,0.0211
2024-05-12 19:27:15,0.0211
2024-05-12 19:27:30,0.0211
2024-05-12 19:27:45,0.0211
2024-05-12 19:28:00,0.0150
2024-05-12 19:28:15,0.0150
2024-05-12 19:28:30,0.0150
2024-05-12 19:28:45,0.0150
2024-05-12 19:29:00,0.0194
2024-05-12 19:29:15,0.0194
2024-05-12 19:29:30,0.0194
2024-05-12 19:29:45,0.0194
2024-05-12 19:30:00,0.0225
2024-05-12 19:30:15,0.0225
2024-05-12 19:30:30,0.0225
2024-05-12 19:30:45,0.0225
2024-05-12 19:31:00,0.0173
2024-05-12 19:31:15,0.0173
2024-05-12 19:31:30,0.0173
2024-05-12 19:31:45,0.0173
2024-05-12 19:32:00,0.0246
2024-05-12 19:32:15,0.0246
2024-05-12 19:32:30,0.0246
2024-05-12 19:32:45,0.0246
2024-05-12 19:33:00,0.0214
2024-05-12 19:33:15,0.0214
2024-05-12 19:33:30,0.0214
2024-05-12 19:33:45,0.0214
2024-05-12 19:34:00,0.0172
2024-05-12 19:34:15,0.0172
2024-05-12 19:34:30,0.0172
2024-05-12 19:34:45,0.0172
2024-05-12 19:35:00,0.0220
2024-05-12 19:35:15,0.0220
2024-05-12 19:35:30,0.0220
2024-05-12 19:35:45,0.0220
2024-05-12 19:36:00,0.0189
2024-05-12 19:36:15,0.0189
2024-05-12 19:36:30,0.0189
2024-05-12 19:36:45,0.0189
2024-05-12 19:37:00,0.0159
2024-05-12 19:37:15,0.0159
2024-05-12 19:37:30,0.0159
2024-05-12 19:37:45,0.0159
2024-05-12 19:38:00,0.0161
2024-05-12 19:38:15,0.0161
2024-05-12 19:38:30,0.0161
2024-05-12 19:38:45,0.0161
2024-05-12 19:39:00,0.0223
2024-05-12 19:39:15,0.0223
2024-05-12 19:39:30,0.0223
2024-05-12 19:39:45,0.0223
2024-05-12 19:40:00,0.0169
2024-05-12 19:40:15,0.0169
2024-05-12 19:40:30,0.0169
2024-05-12 19:40:45,0.0169
2024-05-12 19:41:00,0.0205
2024-05-12 19:41:15,0.0205
2024-05-12 19:41:30,0.0205
2024-05-12 19:41:45,0.0205
2024-05-12 19:42:00,0.0178
2024-05-12 19:42:15,0.0178
2024-05-12 19:42:30,0.0178
2024-05-12 19:42:45,0.0178
2024-05-12 19:43:00,0.0224
